芭贰老磊,芭贰矫埃,瘤开,楷丰盔,惯傈樊(MWh)
2023-12-05,15,腊瘤,浅仿,8.156861
2023-12-05,16,腊瘤,浅仿,9.845015
2023-12-05,17,腊瘤,浅仿,12.988531
2023-12-05,18,腊瘤,浅仿,33.307494
2023-12-05,19,腊瘤,浅仿,37.360146
2023-12-05,20,腊瘤,浅仿,40.695156
2023-12-05,21,腊瘤,浅仿,82.623081
2023-12-05,22,腊瘤,浅仿,92.70637
2023-12-05,23,腊瘤,浅仿,103.576806
2023-12-05,24,腊瘤,浅仿,194.485755
2023-12-06,1,腊瘤,浅仿,292.21357
2023-12-06,2,腊瘤,浅仿,318.024832
2023-12-06,3,腊瘤,浅仿,307.67842
2023-12-06,4,腊瘤,浅仿,390.911008
2023-12-06,5,腊瘤,浅仿,486.93612
2023-12-06,6,腊瘤,浅仿,517.488958
2023-12-06,7,腊瘤,浅仿,562.297553
2023-12-06,8,腊瘤,浅仿,568.288552
2023-12-06,9,腊瘤,浅仿,646.041371
2023-12-06,10,腊瘤,浅仿,677.661859
2023-12-06,11,腊瘤,浅仿,637.875534
2023-12-06,12,腊瘤,浅仿,557.9276
2023-12-06,13,腊瘤,浅仿,549.155771
2023-12-06,14,腊瘤,浅仿,637.622983
2023-12-06,15,腊瘤,浅仿,671.394419
2023-12-06,16,腊瘤,浅仿,707.147476
2023-12-06,17,腊瘤,浅仿,715.88063
2023-12-06,18,腊瘤,浅仿,804.82632
2023-12-06,19,腊瘤,浅仿,856.300574
2023-12-06,20,腊瘤,浅仿,954.998662
2023-12-06,21,腊瘤,浅仿,1026.520665
2023-12-06,22,腊瘤,浅仿,1048.752799
2023-12-06,23,腊瘤,浅仿,1142.691797
2023-12-06,24,腊瘤,浅仿,1137.972952
2023-12-07,1,腊瘤,浅仿,1160.454074
2023-12-07,2,腊瘤,浅仿,1141.715176
2023-12-07,3,腊瘤,浅仿,1153.146749
2023-12-07,4,腊瘤,浅仿,1121.796535
2023-12-07,5,腊瘤,浅仿,1093.047157
2023-12-07,6,腊瘤,浅仿,994.930334
2023-12-07,7,腊瘤,浅仿,837.800433
2023-12-07,8,腊瘤,浅仿,745.0938
2023-12-07,9,腊瘤,浅仿,647.330117
2023-12-07,10,腊瘤,浅仿,671.654033
2023-12-07,11,腊瘤,浅仿,610.631607
2023-12-07,12,腊瘤,浅仿,597.876253
2023-12-07,13,腊瘤,浅仿,581.58815
2023-12-07,14,腊瘤,浅仿,563.859438
2023-12-07,15,腊瘤,浅仿,538.696683
2023-12-07,16,腊瘤,浅仿,515.582116
2023-12-07,17,腊瘤,浅仿,547.941181
2023-12-07,18,腊瘤,浅仿,548.041623
2023-12-07,19,腊瘤,浅仿,532.633933
2023-12-07,20,腊瘤,浅仿,541.416741
2023-12-07,21,腊瘤,浅仿,593.55649
2023-12-07,22,腊瘤,浅仿,605.948012
2023-12-07,23,腊瘤,浅仿,600.370693
2023-12-07,24,腊瘤,浅仿,629.835766
2023-12-08,1,腊瘤,浅仿,678.150965
2023-12-08,2,腊瘤,浅仿,715.650017
2023-12-08,3,腊瘤,浅仿,710.688595
2023-12-08,4,腊瘤,浅仿,717.619232
2023-12-08,5,腊瘤,浅仿,721.387974
2023-12-08,6,腊瘤,浅仿,767.315841
2023-12-08,7,腊瘤,浅仿,819.14762
2023-12-08,8,腊瘤,浅仿,886.632859
2023-12-08,9,腊瘤,浅仿,925.019831
2023-12-08,10,腊瘤,浅仿,985.509223
2023-12-08,11,腊瘤,浅仿,959.513735
2023-12-08,12,腊瘤,浅仿,883.431382
2023-12-08,13,腊瘤,浅仿,802.494463
2023-12-08,14,腊瘤,浅仿,782.458954
2023-12-08,15,腊瘤,浅仿,767.196516
2023-12-08,16,腊瘤,浅仿,780.047365
2023-12-08,17,腊瘤,浅仿,776.498369
2023-12-08,18,腊瘤,浅仿,755.978827
2023-12-08,19,腊瘤,浅仿,822.000231
2023-12-08,20,腊瘤,浅仿,867.344121
2023-12-08,21,腊瘤,浅仿,856.570817
2023-12-08,22,腊瘤,浅仿,795.957454
2023-12-08,23,腊瘤,浅仿,768.049323
2023-12-08,24,腊瘤,浅仿,787.521976
2023-12-09,1,腊瘤,浅仿,817.848267
2023-12-09,2,腊瘤,浅仿,853.402551
2023-12-09,3,腊瘤,浅仿,795.731222
2023-12-09,4,腊瘤,浅仿,775.175746
2023-12-09,5,腊瘤,浅仿,732.722807
2023-12-09,6,腊瘤,浅仿,658.641336
2023-12-09,7,腊瘤,浅仿,661.89045
2023-12-09,8,腊瘤,浅仿,646.903192
2023-12-09,9,腊瘤,浅仿,637.511814
2023-12-09,10,腊瘤,浅仿,772.269642
2023-12-09,11,腊瘤,浅仿,762.924743
2023-12-09,12,腊瘤,浅仿,621.600778
2023-12-09,13,腊瘤,浅仿,557.741342
2023-12-09,14,腊瘤,浅仿,501.939457
2023-12-09,15,腊瘤,浅仿,417.115087
2023-12-09,16,腊瘤,浅仿,373.676181
2023-12-09,17,腊瘤,浅仿,356.621844
2023-12-09,18,腊瘤,浅仿,325.939327
2023-12-09,19,腊瘤,浅仿,189.956381
2023-12-09,20,腊瘤,浅仿,132.79344
2023-12-09,21,腊瘤,浅仿,138.350694
2023-12-09,22,腊瘤,浅仿,134.705798
2023-12-09,23,腊瘤,浅仿,120.17183
2023-12-09,24,腊瘤,浅仿,106.0855
2023-12-10,1,腊瘤,浅仿,82.892565
2023-12-10,2,腊瘤,浅仿,84.424469
2023-12-10,3,腊瘤,浅仿,69.172746
2023-12-10,4,腊瘤,浅仿,55.582482
2023-12-10,5,腊瘤,浅仿,50.674566
2023-12-10,6,腊瘤,浅仿,50.153159
2023-12-10,7,腊瘤,浅仿,81.149558
2023-12-10,8,腊瘤,浅仿,103.831811
2023-12-10,9,腊瘤,浅仿,114.444487
2023-12-10,10,腊瘤,浅仿,149.256505
2023-12-10,11,腊瘤,浅仿,120.760768
2023-12-10,12,腊瘤,浅仿,83.481194
2023-12-10,13,腊瘤,浅仿,58.624849
2023-12-10,14,腊瘤,浅仿,70.549128
2023-12-10,15,腊瘤,浅仿,89.411767
2023-12-10,16,腊瘤,浅仿,129.568871
2023-12-10,17,腊瘤,浅仿,145.210694
2023-12-10,18,腊瘤,浅仿,207.992133
2023-12-10,19,腊瘤,浅仿,283.665566
2023-12-10,20,腊瘤,浅仿,376.793457
2023-12-10,21,腊瘤,浅仿,411.748848
2023-12-10,22,腊瘤,浅仿,466.665777
2023-12-10,23,腊瘤,浅仿,439.317442
2023-12-10,24,腊瘤,浅仿,462.435659
2023-12-11,1,腊瘤,浅仿,461.971494
2023-12-11,2,腊瘤,浅仿,482.15055
2023-12-11,3,腊瘤,浅仿,529.070088
2023-12-11,4,腊瘤,浅仿,593.641539
2023-12-11,5,腊瘤,浅仿,643.522689
2023-12-11,6,腊瘤,浅仿,640.030141
2023-12-11,7,腊瘤,浅仿,676.92291
2023-12-11,8,腊瘤,浅仿,757.542457
2023-12-11,9,腊瘤,浅仿,737.472602
2023-12-11,10,腊瘤,浅仿,870.825995
2023-12-11,11,腊瘤,浅仿,919.926439
2023-12-11,12,腊瘤,浅仿,884.189623
2023-12-11,13,腊瘤,浅仿,806.816925
2023-12-11,14,腊瘤,浅仿,799.420924
2023-12-11,15,腊瘤,浅仿,849.726677
2023-12-11,16,腊瘤,浅仿,829.479726
2023-12-11,17,腊瘤,浅仿,819.0072
2023-12-11,18,腊瘤,浅仿,821.887702
2023-12-11,19,腊瘤,浅仿,774.441926
2023-12-11,20,腊瘤,浅仿,701.089611
